,address,adtype,latitude,longitude,panel_id,postcode,site_id
0,o/s 25-26 Grand Parade Green Lanes Haringey,Phoneboxes - Digital,51.580601,-0.09929,174271,N4 1LG,128251.0
0,Walworth Road jnc Heygate Street Southwark,Phoneboxes - Digital,51.491767,-0.097837,174288,SE17 1JL,128267.0
0,o/s 6-7 Grand Parade Green Lanes Haringey,Phoneboxes - Digital,51.581808,-0.099458,174295,N4 1JX,128274.0
0,o/s 133-137 Queens Road Southwark,Phoneboxes - Digital,51.473591,-0.058348,174360,SE15 2ND,128324.0
0,o/s 208 Southwark Park Road Southwark,Phoneboxes - Digital,51.492151,-0.064262,174361,SE16 3RW,128325.0
0,Roman Road adj Beehive Pub Tower Hamlets,Phoneboxes - Digital,51.529986,-0.043692,174362,E2 0SL,128326.0
0,o/s 349 Commercial Road Tower Hamlets,Phoneboxes - Digital,51.514254,-0.053935,174378,E1 2PS,128339.0
0,o/s 569 Green Lanes Haringey,Phoneboxes - Digital,51.583153,-0.099952,174598,N8 0RL,128496.0
0,o/s 121 Seven Sisters Road Islington,Phoneboxes - Digital,51.561307,-0.113079,174604,N1 7QG,128502.0
0,o/s 347 Holloway Road Islington,Phoneboxes - Digital,51.556426,-0.11765,174605,N7 0RN,128503.0
0,o/s 207 Old Street o/s BT Office Islington,Phoneboxes - Digital,51.525529,-0.088811,174606,EC1V 9NR,128504.0
0,o/s 270 Holloway Road Islington,Phoneboxes - Digital,51.553886,-0.113839,174607,N7 6NE,128505.0
0,o/s 526 Holloway Road Islington,Phoneboxes - Digital,51.55929,-0.121548,174608,N7 6JD,128506.0
0,o/s 64 Essex Road Islington,Phoneboxes - Digital,51.538042,-0.09968,174609,N1 8LR,128507.0
0,o/s 402 Holloway Road o/s David Hutchins Recruitment Islington,Phoneboxes - Digital,51.556826,-0.117726,174610,N7 6PZ,128508.0
0,Opp 419-423 Old Kent Road opp Coopers Road Southwark,Phoneboxes - Digital,51.486578,-0.073348,174612,SE1 5EH,128510.0
0,"Camb Heath Rd, Darling Row, Opp Headham St, O/S Fl",Bus Shelters,51.521068,-0.05595,174753,E1 4HE,122978.0
0,"Camb Heath Rd, Darling Row, Opp Headham St, O/S Fl",Bus Shelters,51.521068,-0.05595,174754,E1 4HE,122978.0
0,Mile End Rd Stepney Green 55m W/O Opp107 17m W/O,Bus Shelters,51.520888,-0.0511,174755,E1 4UU,123220.0
0,Sainsburys Nine Elms 62 Wandsworth Road London,Sainsburys - Digital,51.481475,-0.127933,174828,SW8 2LF,128633.0
0,Enkle Arms 155 Kilburn High Road London,Pubs & Bars - Digital,51.558828,-0.11714,174842,N7 6AA,128645.0
0,Pineapple 53 Hercules Road London,Pubs & Bars - Digital,51.497164,-0.113718,174865,SE1 7DZ,128659.0
0,Lord Nelson 386 Old Kent Road London,Pubs & Bars - Digital,51.486971,-0.074715,174960,SE1 5AA,128742.0
0,Joiners Arms 35 Denmark Hill London,Pubs & Bars - Digital,51.471645,-0.092711,175008,SE5 8RS,128771.0
0,Copper Tap 190-193 Peckham High Street London,Pubs & Bars - Digital,51.473641,-0.065297,175009,SE15 5EG,128772.0
0,"George Canning 123 Grove Ln, Camberwell London",Pubs & Bars - Digital,51.467813,-0.086046,175010,SE5 8BG,128773.0
0,Green Man 144A Essex Rd London,Pubs & Bars - Digital,51.539165,-0.097864,175074,N1 8LX,128822.0
0,WICK LANE J-W AUTUM STREET 35M S/O & OPP NO: 75 OPP 443 SHELL SERVICE STATION TOWER HAMLETS,Bus Shelters,51.534627,-0.021977,175086,E3 2TB,128832.0
0,WICK LANE J-W AUTUM STREET 35M S/O & OPP NO: 75 OPP 443 SHELL SERVICE STATION TOWER HAMLETS,Bus Shelters,51.534627,-0.021977,175087,E3 2TB,128832.0
0,MANCHESTER ROAD  STEBONDALE STREET 21M  W/O OPP NO; 21 ENT TO ISLAND GARDENS TOWER HAMLETS,Bus Shelters,51.487801,-0.010767,175102,E14 3DQ,128843.0
0,MANCHESTER ROAD  STEBONDALE STREET 21M  W/O OPP NO; 21 ENT TO ISLAND GARDENS TOWER HAMLETS,Bus Shelters,51.487801,-0.010767,175103,E14 3DQ,128843.0
0,The Kings 59 Essex Rd London,Pubs & Bars - Digital,51.537632,-0.100365,175135,N1 2SF,128863.0
0,Salmon and Ball 502 Bethnal Green Rd London,Pubs & Bars - Digital,51.526989,-0.057255,175140,E2 0EA,128868.0
0,"Ferry House 26 Ferry St, Isle of Dogs London",Pubs & Bars - Digital,51.486356,-0.012544,175151,E14 3DT,128875.0
0,"Hungerford Arms 240 Commercial Rd, Shadwell London",Pubs & Bars - Digital,51.514379,-0.058253,175156,E1 2NB,128880.0
0,Shakespeare 99 Buckingham Palace Road London,Pubs & Bars - Digital,51.496195,-0.144834,175164,SW1W 0RP,128894.0
0,New Road  Stepney Way 22m s/o Opp No: 103,Bus Shelters,51.517399,-0.062463,175246,E1 1HJ,128925.0
0,New Road  Stepney Way 22m s/o Opp No: 103,Bus Shelters,51.517399,-0.062463,175247,E1 1HJ,128925.0
0,o/s 220 Mile End Road Tower Hamlets,Phoneboxes - Digital,51.521344,-0.047693,175400,E1 4LJ,129068.0
0,OLD FORD ROAD 50M W/O PARNELL ROAD OPP 536 O/S KILDARE HOUSE,Bus Shelters,51.535757,-0.029253,175499,E3 2LY,129156.0
0,OLD FORD ROAD 50M W/O PARNELL ROAD OPP 536 O/S KILDARE HOUSE,Bus Shelters,51.535757,-0.029253,175500,E3 2LY,129156.0
0,TRAFALGAR WAY  BILLINGSGATE ROUNDABOUT 39 M S/O OPP BILLINGSGATE MARKET TOWER HAMLETS,Bus Shelters,51.506132,-0.010473,175541,E14 5SE,129199.0
0,TRAFALGAR WAY  BILLINGSGATE ROUNDABOUT 39 M S/O OPP BILLINGSGATE MARKET TOWER HAMLETS,Bus Shelters,51.506132,-0.010473,175542,E14 5SE,129199.0
0,"The Traders Inn 52 Church St, St John''s Wood, London NW8 8EP London",Pubs & Bars - Digital,51.524004,-0.169695,175595,NW8 8EP,129243.0
0,"1170 Surrey Canal Rd C/O Ilderton Rd, London",Billboards,51.484691,-0.053162,175610,SE16 3LA,129256.0
0,o/s 198 Stamford Hill Hackney,Phoneboxes - Digital,51.572863,-0.072126,175629,N16 6RA,129274.0
0,o/s 148 Lower Clapton Road Hackney,Phoneboxes - Digital,51.55537,-0.054545,175630,E5 0QJ,129275.0
0,o/s 16 Morning Lane Hackney,Phoneboxes - Digital,51.545843,-0.053784,175631,E9 6NA,129276.0
0,o/s 239-241 Holloway Road Islington,Phoneboxes - Digital,51.551385,-0.11113,175633,N7 8HG,129278.0
